Report Number,Category,Offense Parent Group,Offense,MCPP,Longitude,Latitude
2010-094118,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,UNIVERSITY,-122.3174038,47.66493734
2010-095144,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,JUDKINS PARK/NORTH BEACON HILL,-122.3038094,47.59927115
2010-096594,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTH ADMIRAL,-122.3894284,47.57294457
2010-098181,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTH BEACON HILL,-122.3185957,47.5850835
2010-098354,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,HIGHLAND PARK,-122.3610919,47.53795417
2010-098542,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CENTRAL AREA/SQUIRE PARK,-122.3020637,47.61294138
2010-098661,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CHINATOWN/INTERNATIONAL DISTRICT,-122.3172267,47.59749957
2010-099211,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTH BEACON HILL,-122.314649,47.57188729
2010-099789,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,FIRST HILL,-122.3207496,47.60621256
2010-099825,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CAPITOL HILL,-122.3239441,47.61522807
2010-100405,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,PIONEER SQUARE,-122.331777,47.60149293
2010-100746,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTHGATE,-122.3433447,47.7059634
2010-101068,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,MID BEACON HILL,-122.2915564,47.55172797
2010-102653,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SOUTH BEACON HILL,-122.2850433,47.53155081
2010-103150,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,PIONEER SQUARE,-122.3295065,47.60137164
2010-104126,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SODO,-122.3213949,47.58384831
2010-104524,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,FIRST HILL,-122.3223987,47.60801798
2010-104648,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,FIRST HILL,-122.3223987,47.60801798
2010-106753,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CAPITOL HILL,-122.327864,47.61778341
2010-106882,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,FIRST HILL,-122.3207492,47.60571969
2010-107347,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,FIRST HILL,-122.3286657,47.60983627
2010-108454,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CAPITOL HILL,-122.3208637,47.61932364
2010-108951,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SODO,-122.3290582,47.57664991
2010-109162,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CENTRAL AREA/SQUIRE PARK,-122.3101731,47.61153999
